term1	senset1	sentencet1	classt1	term2	senset2	sentencet2	classt2	which_is_more_emotional
splash	splash#v#4	The mountain was <b>splashed</b> with snow.	metaphorical	splash	splash#v#1	She <b>splashed</b> the water around her.	literal	the focus words in the two sentences convey a similar degree of emotion
lock	lock#v#4	He <b>locked</b> his hands around her neck.	metaphorical	lock	lock#v#7	She <b>locked</b> her jewels in the safe.	literal	the focus word conveys more emotion in the first sentence
waste	waste#v#1	He <b>wasted</b> his inheritance on his insincere friends.	metaphorical	waste	waste#v#3	We <b>waste</b> the dirty water by channeling it into the sewer.	literal	the focus word conveys more emotion in the first sentence
lock	lock#v#6	He was <b>locked</b> in a laughing fit.	metaphorical	lock	lock#v#1	<b>Lock</b> the bike to the fence!	literal	the focus word conveys more emotion in the first sentence
ascend	ascend#v#2	Inheritance may not <b>ascend</b> linearly.	metaphorical	ascend	ascend#v#1	We <b>ascended</b> the mountain.	literal	the focus words in the two sentences convey a similar degree of emotion
shipwreck	shipwreck#v#4	The vessel was <b>shipwrecked</b>.	literal	shipwreck	shipwreck#v#1	You have <b>shipwrecked</b> my career.	metaphorical	the focus word conveys more emotion in the second sentence
stoop	stoop#v#2	I won't <b>stoop</b> to reading other people's mail.	metaphorical	stoop	stoop#v#5	The old man was <b>stooping</b> but he could walk around without a cane.	literal	the focus word conveys more emotion in the first sentence
fasten	fasten#v#3	They <b>fastened</b> various nicknames to each other.	metaphorical	fasten	fasten#v#1	He <b>fastened</b> the lock onto the door.	literal	the focus word conveys more emotion in the first sentence
sign	sign#v#1	She <b>signed</b> the letter and sent it off.	literal	sign	sign#v#5	He <b>signed</b> his disapproval with a dismissive hand gesture.	metaphorical	the focus word conveys more emotion in the second sentence
pierce	pierce#v#5	The needle <b>pierced</b> her flesh.	literal	pierce	pierce#v#2	The cold <b>pierced</b> her bones.	metaphorical	the focus words in the two sentences convey a similar degree of emotion
sign	sign#v#5	He <b>signed</b> his disapproval with a dismissive hand gesture.	metaphorical	sign	sign#v#3	He <b>signed</b> to play the casino on December 18.	literal	the focus word conveys more emotion in the first sentence
stagger	stagger#v#2	He <b>staggered</b> along in the heavy snow.	literal	stagger	stagger#v#4	She was <b>staggered</b> with bills after she tried to rebuild her house following the earthquake.	metaphorical	the focus word conveys more emotion in the second sentence
cloud	cloud#v#2	The stars are obscured by the <b>clouds</b>.	literal	cloud	cloud#v#4	Their faces were <b>clouded</b> with sadness.	metaphorical	the focus word conveys more emotion in the second sentence
circulate	circulate#v#7	She <b>circulates</b> among royalty.	metaphorical	circulate	circulate#v#3	This letter is being <b>circulated</b> among the faculty.	literal	the focus word conveys more emotion in the first sentence
stagger	stagger#v#1	The drunken man <b>staggered</b> into the room.	literal	stagger	stagger#v#4	She was <b>staggered</b> with bills after she tried to rebuild her house following the earthquake.	metaphorical	the focus word conveys more emotion in the second sentence
pour	pour#v#1	They <b>poured</b> water over the floor.	literal	pour	pour#v#2	People were <b>pouring</b> out of the theater.	metaphorical	the focus word conveys more emotion in the second sentence
sell	sell#v#2	These books <b>sell</b> like hot cakes.	literal	sell	sell#v#3	The French try to <b>sell</b> us their image as great lovers.	metaphorical	the focus word conveys more emotion in the second sentence
recast	recast#v#2	The bell cracked and had to be <b>recast</b>.	literal	recast	recast#v#3	She had to <b>recast</b> her image to please the electorate in her home state.	metaphorical	the focus word conveys more emotion in the second sentence
guard	guard#v#1	There will be men <b>guarding</b> the horses.	literal	guard	guard#v#4	This vaccine will <b>guard</b> you against infection.	metaphorical	the focus words in the two sentences convey a similar degree of emotion
drain	drain#v#2	The exercise class <b>drains</b> me of energy.	metaphorical	drain	drain#v#3	We <b>drained</b> the oil tank.	literal	the focus word conveys more emotion in the first sentence
blister	blister#v#1	Her feet <b>blistered</b> during the long hike.	literal	blister	blister#v#2	The Senator <b>blistered</b> the administration in his speech on Friday.	metaphorical	the focus word conveys more emotion in the second sentence
lock	lock#v#5	They were <b>locked</b> in embrace.	metaphorical	lock	lock#v#7	She <b>locked</b> her jewels in the safe.	literal	the focus word conveys more emotion in the first sentence
sign	sign#v#7	"I don't know how to <b>sign</b>, so I could not communicate with my deaf cousin."	literal	sign	sign#v#5	He <b>signed</b> his disapproval with a dismissive hand gesture.	metaphorical	the focus word conveys more emotion in the second sentence
tax	tax#v#1	The State <b>taxes</b> alcohol heavily.	literal	tax	tax#v#3	You are <b>taxing</b> my patience.	metaphorical	the focus word conveys more emotion in the second sentence
rip	rip#v#1	The curtain <b>ripped</b> from top to bottom.	literal	rip	rip#v#4	The candidate <b>ripped</b> into his opponent mercilessly.	metaphorical	the focus word conveys more emotion in the second sentence
exhaust	exhaust#v#4	We have <b>exhausted</b> the food supplies.	metaphorical	exhaust	exhaust#v#1	This kind of work <b>exhausts</b> me.	literal	the focus word conveys more emotion in the second sentence
express	express#v#5	Many of the laboratory animals <b>express</b> the trait.	metaphorical	express	express#v#7	She <b>expressed</b> the letter to Florida.	literal	the focus words in the two sentences convey a similar degree of emotion
uproot	uproot#v#3	They plan to <b>uproot</b> the vine that has spread all over the garden.	literal	uproot	uproot#v#2	The vestiges of political democracy were soon <b>uprooted</b>.	metaphorical	the focus word conveys more emotion in the second sentence
stoop	stoop#v#3	The eagle <b>stooped</b> on the mice in the field.	literal	stoop	stoop#v#2	I won't <b>stoop</b> to reading other people's mail.	metaphorical	the focus word conveys more emotion in the second sentence
visit	visit#v#8	He was <b>visited</b> with a terrible illness that killed him quickly.	metaphorical	visit	visit#v#7	"Every summer, we <b>visited</b> our relatives in the country for a month."	literal	the focus word conveys more emotion in the first sentence
drain	drain#v#1	The rain water <b>drains</b> into this big vat.	literal	drain	drain#v#2	The exercise class <b>drains</b> me of energy.	metaphorical	the focus word conveys more emotion in the second sentence
wrestle	wrestle#v#1	He <b>wrestled</b> all his life with his feeling of inferiority.	metaphorical	wrestle	wrestle#v#4	The children <b>wrestled</b> in the garden.	literal	the focus word conveys more emotion in the first sentence
design	design#v#3	Chanel <b>designed</b> the famous suit.	literal	design	design#v#7	She <b>designed</b> to go far in the world of business.	metaphorical	the focus word conveys more emotion in the second sentence
talk	talk#v#3	The baby <b>talks</b> already.	literal	talk	talk#v#1	Actions <b>talk</b> louder than words.	metaphorical	the focus word conveys more emotion in the second sentence
circulate	circulate#v#7	She <b>circulates</b> among royalty.	metaphorical	circulate	circulate#v#6	The fan <b>circulates</b> the air in the room.	literal	the focus word conveys more emotion in the first sentence
circulate	circulate#v#4	Blood <b>circulates</b> in my veins.	literal	circulate	circulate#v#7	She <b>circulates</b> among royalty.	metaphorical	the focus words in the two sentences convey a similar degree of emotion
talk	talk#v#6	She will <b>talk</b> at Rutgers next week.	literal	talk	talk#v#1	Actions <b>talk</b> louder than words.	metaphorical	the focus word conveys more emotion in the second sentence
blaze	blaze#v#2	He <b>blazed</b> away at the men.	metaphorical	blaze	blaze#v#3	The summer sun alone can cause a pine to <b>blaze</b>.	literal	the focus word conveys more emotion in the first sentence
fasten	fasten#v#3	They <b>fastened</b> various nicknames to each other.	metaphorical	fasten	fasten#v#2	This dress <b>fastens</b> in the back.	literal	the focus word conveys more emotion in the first sentence
ruffle	ruffle#v#9	The seamstress <b>ruffled</b> the curtain fabric.	literal	ruffle	ruffle#v#4	This play is going to <b>ruffle</b> some people.	metaphorical	the focus word conveys more emotion in the second sentence
pour	pour#v#5	We <b>poured</b> money into the education of our children.	metaphorical	pour	pour#v#1	They <b>poured</b> water over the floor.	literal	the focus word conveys more emotion in the first sentence
fracture	fracture#v#4	The tibia <b>fractured</b> from the blow of the iron pipe.	literal	fracture	fracture#v#1	This writer really <b>fractures</b> the language.	metaphorical	the focus word conveys more emotion in the first sentence
ascend	ascend#v#6	The path <b>ascended</b> to the top of the hill.	literal	ascend	ascend#v#2	Inheritance may not <b>ascend</b> linearly.	metaphorical	the focus words in the two sentences convey a similar degree of emotion
lock	lock#v#1	<b>Lock</b> the bike to the fence!	literal	lock	lock#v#5	They were <b>locked</b> in embrace.	metaphorical	the focus word conveys more emotion in the second sentence
abuse	abuse#v#1	This boss <b>abuses</b> his workers.	literal	abuse	abuse#v#4	Her husband often <b>abuses</b> alcohol.	metaphorical	the focus word conveys more emotion in the first sentence
splash	splash#v#4	The mountain was <b>splashed</b> with snow.	metaphorical	splash	splash#v#5	Water was <b>splashing</b> on the floor.	literal	the focus words in the two sentences convey a similar degree of emotion
lie	lie#v#6	The fate of Bosnia <b>lies</b> in the hands of the West.	metaphorical	lie	lie#v#7	<b>Lie</b> down on the bed until you feel better.	literal	the focus word conveys more emotion in the first sentence
fracture	fracture#v#4	The tibia <b>fractured</b> from the blow of the iron pipe.	literal	fracture	fracture#v#2	These events could <b>fracture</b> the balance of power.	metaphorical	the focus word conveys more emotion in the second sentence
fracture	fracture#v#3	The pothole <b>fractured</b> a bolt on the axle.	literal	fracture	fracture#v#1	This writer really <b>fractures</b> the language.	metaphorical	the focus word conveys more emotion in the second sentence
fracture	fracture#v#3	The pothole <b>fractured</b> a bolt on the axle.	literal	fracture	fracture#v#2	These events could <b>fracture</b> the balance of power.	metaphorical	the focus word conveys more emotion in the second sentence
lock	lock#v#4	He <b>locked</b> his hands around her neck.	metaphorical	lock	lock#v#1	<b>Lock</b> the bike to the fence!	literal	the focus word conveys more emotion in the first sentence
shake	shake#v#5	The bad news <b>shook</b> her hopes.	metaphorical	shake	shake#v#8	<b>Shake</b> the salt out of the salt shaker.	literal	the focus word conveys more emotion in the first sentence
lock	lock#v#6	He was <b>locked</b> in a laughing fit.	metaphorical	lock	lock#v#7	She <b>locked</b> her jewels in the safe.	literal	the focus word conveys more emotion in the first sentence
talk	talk#v#1	Actions <b>talk</b> louder than words.	metaphorical	talk	talk#v#4	"If you don't oblige me, I'll <b>talk</b>!"	literal	the focus word conveys more emotion in the second sentence
ruffle	ruffle#v#7	The bird <b>ruffled</b> its feathers.	literal	ruffle	ruffle#v#2	She wanted to <b>ruffle</b> his composure.	metaphorical	the focus word conveys more emotion in the second sentence
peep	peep#v#5	The new moon <b>peeped</b> through the tree tops.	metaphorical	peep	peep#v#1	He <b>peeped</b> at the woman through the window.	literal	the focus word conveys more emotion in the second sentence
shake	shake#v#8	<b>Shake</b> the salt out of the salt shaker.	literal	shake	shake#v#7	I couldn't <b>shake</b> the car that was following me.	metaphorical	the focus word conveys more emotion in the second sentence
visit	visit#v#7	"Every summer, we <b>visited</b> our relatives in the country for a month."	literal	visit	visit#v#5	The principal <b>visited</b> his rage on the students.	metaphorical	the focus word conveys more emotion in the second sentence
drain	drain#v#4	Life in the camp <b>drained</b> him.	metaphorical	drain	drain#v#1	The rain water <b>drains</b> into this big vat.	literal	the focus word conveys more emotion in the first sentence
recast	recast#v#3	She had to <b>recast</b> her image to please the electorate in her home state.	metaphorical	recast	recast#v#1	He was <b>recast</b> as Iago.	literal	the focus word conveys more emotion in the first sentence
design	design#v#5	Dupont <b>designs</b> for the house of Chanel.	literal	design	design#v#7	She <b>designed</b> to go far in the world of business.	metaphorical	the focus word conveys more emotion in the second sentence
sell	sell#v#3	The French try to <b>sell</b> us their image as great lovers.	metaphorical	sell	sell#v#4	The brothers <b>sell</b> shoes.	literal	the focus word conveys more emotion in the first sentence
gutter	gutter#v#4	The roofer began to <b>gutter</b> the buildings.	literal	gutter	gutter#v#2	Tears <b>guttered</b> down her face.	metaphorical	the focus word conveys more emotion in the second sentence
blaze	blaze#v#3	The summer sun alone can cause a pine to <b>blaze</b>.	literal	blaze	blaze#v#4	The spaceship <b>blazed</b> out into space.	metaphorical	the focus words in the two sentences convey a similar degree of emotion
ruffle	ruffle#v#9	The seamstress <b>ruffled</b> the curtain fabric.	literal	ruffle	ruffle#v#2	She wanted to <b>ruffle</b> his composure.	metaphorical	the focus word conveys more emotion in the second sentence
drain	drain#v#3	We <b>drained</b> the oil tank.	literal	drain	drain#v#4	Life in the camp <b>drained</b> him.	metaphorical	the focus word conveys more emotion in the second sentence
talk	talk#v#5	Be carefu l-- his secretary <b>talks</b>.	literal	talk	talk#v#1	Actions <b>talk</b> louder than words.	metaphorical	the focus words in the two sentences convey a similar degree of emotion
shed	shed#v#1	He <b>shed</b> his image as a pushy boss.	metaphorical	shed	shed#v#4	Our dog <b>sheds</b> every Spring.	literal	the focus word conveys more emotion in the first sentence
penetrate	penetrate#v#1	The bullet <b>penetrated</b> her chest.	literal	penetrate	penetrate#v#5	The hikers did not manage to <b>penetrate</b> the dense forest.	metaphorical	the focus word conveys more emotion in the first sentence
pour	pour#v#4	Water <b>poured</b> all over the floor.	literal	pour	pour#v#2	People were <b>pouring</b> out of the theater.	metaphorical	the focus word conveys more emotion in the second sentence
visit	visit#v#5	The principal <b>visited</b> his rage on the students.	metaphorical	visit	visit#v#2	Did you ever <b>visit</b> Paris?	literal	the focus word conveys more emotion in the first sentence
exhaust	exhaust#v#1	This kind of work <b>exhausts</b> me.	literal	exhaust	exhaust#v#3	One should not <b>exhaust</b> one's savings.	metaphorical	the focus word conveys more emotion in the first sentence
lie	lie#v#5	She <b>lied</b> when she told me she was only 29.	literal	lie	lie#v#6	The fate of Bosnia <b>lies</b> in the hands of the West.	metaphorical	the focus word conveys more emotion in the first sentence
splash	splash#v#4	The mountain was <b>splashed</b> with snow.	metaphorical	splash	splash#v#3	The mother <b>splashed</b> the baby's face with water.	literal	the focus words in the two sentences convey a similar degree of emotion
gather	gather#v#8	Our ancestors <b>gathered</b> nuts in the Fall.	literal	gather	gather#v#4	I <b>gather</b> you have not done your homework.	metaphorical	the focus word conveys more emotion in the second sentence
ruffle	ruffle#v#7	The bird <b>ruffled</b> its feathers.	literal	ruffle	ruffle#v#4	This play is going to <b>ruffle</b> some people.	metaphorical	the focus word conveys more emotion in the second sentence
pierce	pierce#v#3	The scream <b>pierced</b> the night.	metaphorical	pierce	pierce#v#5	The needle <b>pierced</b> her flesh.	literal	the focus word conveys more emotion in the first sentence
land	land#v#3	this may <b>land</b> you in jail	metaphorical	land	land#v#5	He <b>landed</b> several blows on his opponent's head	literal	the focus words in the two sentences convey a similar degree of emotion
puff	puff#v#5	The critics <b>puffed</b> up this Broadway production	metaphorical	puff	puff#v#8	he huffed and <b>puffed</b> as he made his way up the mountain	literal	the focus words in the two sentences convey a similar degree of emotion
fuel	fuel#v#4	<b>fuel</b> the debate on creationism	metaphorical	fuel	fuel#v#1	"<b>fuel</b> aircraft, ships, and cars"	literal	the focus word conveys more emotion in the first sentence
look	look#v#5	The house <b>looks</b> north	metaphorical	look	look#v#1	She <b>looked</b> over the expanse of land	literal	the focus words in the two sentences convey a similar degree of emotion
taste	taste#v#6	The ex-slave <b>tasted</b> freedom shortly before she died	metaphorical	taste	taste#v#4	This <b>tastes</b> of nutmeg	literal	the focus word conveys more emotion in the first sentence
swim	swim#v#4	the meat was <b>swimming</b> in a fatty gravy	metaphorical	swim	swim#v#5	this snake <b>swims</b> through the soil where it lives	literal	the focus words in the two sentences convey a similar degree of emotion
attack	attack#v#5	I <b>attacked</b> the problem as soon as I got out of bed	metaphorical	attack	attack#v#3	The Serbs <b>attacked</b> the village at night	literal	the focus word conveys more emotion in the first sentence
color	color#v#2	My personal feelings <b>color</b> my judgment in this case	metaphorical	color	color#v#4	<b>color</b> the walls with paint in warm tones	literal	the focus word conveys more emotion in the first sentence
hunt	hunt#v#5	The oscillator <b>hunts</b> about the correct frequency	metaphorical	hunt	hunt#v#2	The <b>hunters</b> traced the deer into the woods	literal	the focus words in the two sentences convey a similar degree of emotion
grope	grope#v#2	His mind <b>groped</b> to make the connection	metaphorical	grope	grope#v#1	She <b>groped</b> for her glasses in the darkness of the bedroom	literal	the focus word conveys more emotion in the first sentence
push	push#v#2	He <b>pushed</b> her to finish her doctorate	metaphorical	push	push#v#10	"`Now <b>push</b> hard,' said the doctor to the woman"	literal	the focus word conveys more emotion in the first sentence
ignite	ignite#v#3	The ostentatious way of living of the rich <b>ignites</b> the hatred of the poor	metaphorical	ignite	ignite#v#2	Marsh gases <b>ignited</b> suddenly	literal	the focus word conveys more emotion in the first sentence
crush	crush#v#5	She was <b>crushed</b> by his refusal of her invitation	metaphorical	crush	crush#v#4	The car <b>crushed</b> the toy	literal	the focus word conveys more emotion in the first sentence
salute	salute#v#4	a terrible stench <b>saluted</b> our nostrils	metaphorical	salute	salute#v#2	I meet this men every day on my way to work and he <b>salutes</b> me	literal	the focus word conveys more emotion in the second sentence
push	push#v#7	The liberal party <b>pushed</b> for reforms	metaphorical	push	push#v#1	He <b>pushed</b> the table into a corner	literal	the focus word conveys more emotion in the first sentence
line	line#v#4	sorrow had <b>lined</b> his face	metaphorical	line	line#v#6	<b>lined</b> books are more enduring	literal	the focus word conveys more emotion in the first sentence
prick	prick#v#6	The thought of her unhappiness <b>pricked</b> his conscience	metaphorical	prick	prick#v#1	The nurse <b>pricked</b> my finger to get a small blood sample	literal	the focus word conveys more emotion in the first sentence
sing	sing#v#4	the kettle was <b>singing</b>	metaphorical	sing	sing#v#2	She was <b>singing</b> while she was cooking	literal	the focus words in the two sentences convey a similar degree of emotion
float	float#v#4	The Republicans are <b>floating</b> the idea of a tax reform	metaphorical	float	float#v#3	He <b>floated</b> the logs down the river	literal	the focus word conveys more emotion in the first sentence
digest	digest#v#5	the government <b>digested</b> the entire law into a code	metaphorical	digest	digest#v#1	I cannot <b>digest</b> milk products	literal	the focus words in the two sentences convey a similar degree of emotion
paste	paste#v#2	He <b>pasted</b> his opponent	metaphorical	paste	paste#v#1	<b>paste</b> the sign on the wall	literal	the focus word conveys more emotion in the first sentence
bolt	bolt#v#6	Don't <b>bolt</b> your food!	metaphorical	bolt	bolt#v#5	The listeners <b>bolted</b> when he discussed his strange ideas	literal	the focus word conveys more emotion in the second sentence
drown	drown#v#1	I was <b>drowned</b> in work	metaphorical	drown	drown#v#3	The child <b>drowned</b> in the lake	literal	the focus words in the two sentences convey a similar degree of emotion
sing	sing#v#4	the kettle was <b>singing</b>	metaphorical	sing	sing#v#3	The nightingale was <b>singing</b>	literal	the focus words in the two sentences convey a similar degree of emotion
swim	swim#v#3	my brain is <b>swimming</b> after the bottle of champagne	metaphorical	swim	swim#v#5	this snake <b>swims</b> through the soil where it lives	literal	the focus word conveys more emotion in the first sentence
engrave	engrave#v#2	The event <b>engraved</b> itself into her memory	metaphorical	engrave	engrave#v#4	<b>engrave</b> the pen with the owner's name	literal	the focus word conveys more emotion in the first sentence
digest	digest#v#5	the government <b>digested</b> the entire law into a code	metaphorical	digest	digest#v#4	Protein <b>digests</b> in a few hours	literal	the focus words in the two sentences convey a similar degree of emotion
push	push#v#8	The guy hanging around the school is <b>pushing</b> drugs	metaphorical	push	push#v#1	He <b>pushed</b> the table into a corner	literal	the focus words in the two sentences convey a similar degree of emotion
twist	twist#v#9	Don't <b>twist</b> my words	metaphorical	twist	twist#v#4	The cord is all <b>twisted</b>	literal	the focus word conveys more emotion in the first sentence
grope	grope#v#2	His mind <b>groped</b> to make the connection	metaphorical	grope	grope#v#3	He made some sexual advances at the woman in his office and <b>groped</b> her repeatedly	literal	the focus word conveys more emotion in the second sentence
answer	answer#v#10	The steering of my new car <b>answers</b> to the slightest touch	metaphorical	answer	answer#v#1	She didn't want to <b>answer</b>	literal	the focus word conveys more emotion in the first sentence
land	land#v#3	this may <b>land</b> you in jail	metaphorical	land	land#v#1	The bird <b>landed</b> on the highest branch	literal	the focus word conveys more emotion in the first sentence
clap	clap#v#1	The judge <b>clapped</b> him in jail	metaphorical	clap	clap#v#2	The big bird <b>clapped</b> its wings	literal	the focus word conveys more emotion in the first sentence
answer	answer#v#10	The steering of my new car <b>answers</b> to the slightest touch	metaphorical	answer	answer#v#4	The question concerning the meaning of life cannot be <b>answered</b>	literal	the focus words in the two sentences convey a similar degree of emotion
swim	swim#v#4	the meat was <b>swimming</b> in a fatty gravy	metaphorical	swim	swim#v#1	We had to <b>swim</b> for 20 minutes to reach the shore	literal	the focus words in the two sentences convey a similar degree of emotion
cloud	cloud#v#6	The stroke <b>clouded</b> memories of her youth.	metaphorical	cloud	cloud#v#2	The stars are obscured by the <b>clouds</b>.	literal	the focus word conveys more emotion in the first sentence
suck	suck#v#2	Mud was <b>sucking</b> at her feet	metaphorical	suck	suck#v#1	<b>suck</b> the poison from the place where the snake bit	literal	the focus words in the two sentences convey a similar degree of emotion
stagger	stagger#v#4	She was <b>staggered</b> with bills after she tried to rebuild her house following the earthquake.	metaphorical	stagger	stagger#v#1	The drunken man <b>staggered</b> into the room.	literal	the focus words in the two sentences convey a similar degree of emotion
reflect	reflect#v#6	His lack of interest in the project <b>reflects</b> badly on him	metaphorical	reflect	reflect#v#4	Drive carefully--the wet road <b>reflects</b>	literal	the focus word conveys more emotion in the first sentence
capture	capture#v#1	<b>capture</b> the essence of Spring	metaphorical	capture	capture#v#4	This nucleus has <b>captured</b> the slow-moving neutrons	literal	the focus word conveys more emotion in the first sentence
salt	salt#v#2	the rebels had <b>salted</b> the fields with mines and traps	metaphorical	salt	salt#v#4	people used to <b>salt</b> meats on ships	literal	the focus word conveys more emotion in the first sentence
back	back#v#7	Which horse are you <b>backing?</b>	metaphorical	back	back#v#4	<b>back</b> the car into the parking spot	literal	the focus words in the two sentences convey a similar degree of emotion
wear	wear#v#3	He always <b>wears</b> a smile	metaphorical	wear	wear#v#9	What should I <b>wear</b> today?	literal	the focus word conveys more emotion in the first sentence
buzz	buzz#v#3	This office is <b>buzzing</b> with activity	metaphorical	buzz	buzz#v#2	Planes <b>buzzed</b> the crowds in the square	literal	the focus word conveys more emotion in the first sentence
buzz	buzz#v#4	he <b>buzzed</b> the servant	metaphorical	buzz	buzz#v#2	Planes <b>buzzed</b> the crowds in the square	literal	the focus words in the two sentences convey a similar degree of emotion
deflate	deflate#v#4	The new measures <b>deflated</b> the economy	metaphorical	deflate	deflate#v#2	<b>deflate</b> the air mattress	literal	the focus words in the two sentences convey a similar degree of emotion
blur	blur#v#6	The distinction between the two theories <b>blurred</b>	metaphorical	blur	blur#v#5	The fog <b>blurs</b> my vision	literal	the focus words in the two sentences convey a similar degree of emotion
fracture	fracture#v#1	This writer really <b>fractures</b> the language.	metaphorical	fracture	fracture#v#4	The tibia <b>fractured</b> from the blow of the iron pipe.	literal	the focus words in the two sentences convey a similar degree of emotion
push	push#v#7	The liberal party <b>pushed</b> for reforms	metaphorical	push	push#v#10	"`Now <b>push</b> hard,' said the doctor to the woman"	literal	the focus word conveys more emotion in the first sentence
fracture	fracture#v#1	This writer really <b>fractures</b> the language.	metaphorical	fracture	fracture#v#3	The pothole <b>fractured</b> a bolt on the axle.	literal	the focus word conveys more emotion in the first sentence
breathe	breathe#v#4	Our new synthetic fabric <b>breathes</b> and is perfect for summer wear	metaphorical	breathe	breathe#v#2	Every creature that <b>breathes</b>	literal	the focus words in the two sentences convey a similar degree of emotion
bounce	bounce#v#7	The ex-boxer's job is to <b>bounce</b> people who want to enter this private club	metaphorical	bounce	bounce#v#1	The rubber ball <b>bounced</b>	literal	the focus words in the two sentences convey a similar degree of emotion
answer	answer#v#10	The steering of my new car <b>answers</b> to the slightest touch	metaphorical	answer	answer#v#6	She must <b>answer</b> for her actions	literal	the focus word conveys more emotion in the second sentence
push	push#v#8	The guy hanging around the school is <b>pushing</b> drugs	metaphorical	push	push#v#5	she <b>pushed</b> against the wall with all her strength	literal	the focus word conveys more emotion in the second sentence
swell	swell#v#2	The mother was <b>swelling</b> with importance when she spoke of her son	metaphorical	swell	swell#v#6	The water <b>swells</b> the wood	literal	the focus word conveys more emotion in the first sentence
paste	paste#v#2	He <b>pasted</b> his opponent	metaphorical	paste	paste#v#3	<b>paste</b> the wall with burlap	literal	the focus word conveys more emotion in the first sentence
poison	poison#v#1	<b>poison</b> someone's mind	metaphorical	poison	poison#v#5	She <b>poisoned</b> her husband but he did not die	literal	the focus word conveys more emotion in the first sentence
suck	suck#v#3	The current boom in the economy <b>sucked</b> many workers in from abroad	metaphorical	suck	suck#v#7	The wetnurse <b>suckled</b> the infant	literal	the focus words in the two sentences convey a similar degree of emotion
suck	suck#v#2	Mud was <b>sucking</b> at her feet	metaphorical	suck	suck#v#7	The wetnurse <b>suckled</b> the infant	literal	the focus words in the two sentences convey a similar degree of emotion
melt	melt#v#6	her resistance <b>melted</b> under his charm	metaphorical	melt	melt#v#1	The wax <b>melted</b> in the sun	literal	the focus word conveys more emotion in the first sentence
communicate	communicate#v#4	The rooms <b>communicated</b>	metaphorical	communicate	communicate#v#2	He <b>communicated</b> his anxieties to the psychiatrist	literal	the focus word conveys more emotion in the second sentence
amount	amount#v#3	This idea will never <b>amount</b> to anything	metaphorical	amount	amount#v#1	Her action <b>amounted</b> to a rebellion	literal	the focus words in the two sentences convey a similar degree of emotion
rail	rail#v#8	They are <b>railing</b> for fresh fish	metaphorical	rail	rail#v#5	fresh fruit are <b>railed</b> from Italy to Belgium	literal	the focus words in the two sentences convey a similar degree of emotion
